"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","749","verify the tour plan of 2 option ","","Mon Oct 28 10:17:54 IST 2024","broken","Mon Oct 28 10:17:54 IST 2024","","Open the browser and perform actions","",""
"","1027","verify checkbox is checked","","Fri Nov 22 10:35:26 IST 2024","passed","Fri Nov 22 10:35:27 IST 2024","","Open the browser and perform actions","",""
"","2009","verify to proceed to book","","Mon Oct 28 12:19:27 IST 2024","passed","Mon Oct 28 12:19:29 IST 2024","","Open the browser and perform actions","",""
"","2096","verify the tour plans","","Mon Nov 18 16:05:15 IST 2024","passed","Mon Nov 18 16:05:17 IST 2024","","Open the browser and perform actions","",""
"","3005","verify submit_button is clicable","","Mon Nov 18 15:44:57 IST 2024","passed","Mon Nov 18 15:45:00 IST 2024","","Open the browser and perform actions","",""
"","2004","verify checkbox is clicable","","Mon Nov 18 15:44:55 IST 2024","passed","Mon Nov 18 15:44:57 IST 2024","","Open the browser and perform actions","",""
"","18160","verify the is video is clickable ","","Wed Nov 20 21:00:02 IST 2024","broken","Wed Nov 20 21:00:20 IST 2024","","Open the browser and perform actions","",""
"","165","verify Instagram button is clickable","","Tue Oct 22 09:41:13 IST 2024","broken","Tue Oct 22 09:41:13 IST 2024","","Verify social buttons and enquire button are clickable","",""
"","1023","verify proceed button is clickable","","Fri Nov 22 10:35:27 IST 2024","passed","Fri Nov 22 10:35:28 IST 2024","","Open the browser and perform actions","",""
"","10174","Verify Instagram button is clickable","","Tue Oct 22 13:21:20 IST 2024","broken","Tue Oct 22 13:21:30 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","3025","Gets the URL and opens the browser","","Tue Oct 22 13:21:17 IST 2024","passed","Tue Oct 22 13:21:20 IST 2024","","Open the browser and perform actions","",""
"","2006","verify user enter there email","","Mon Oct 28 12:19:33 IST 2024","passed","Mon Oct 28 12:19:35 IST 2024","","Open the browser and perform actions","",""
"","6028","verify the imager crowser is clickable","","Thu Nov 21 16:25:25 IST 2024","passed","Thu Nov 21 16:25:31 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","2017","verify user enter there email","","Fri Nov 22 10:34:21 IST 2024","passed","Fri Nov 22 10:34:23 IST 2024","","Open the browser and perform actions","",""
"","20335","verify methods","","Tue Nov 19 16:16:06 IST 2024","passed","Tue Nov 19 16:16:26 IST 2024","","Open the browser and perform actions","",""
"","10361","verify tour plans taps","","Fri Nov 22 10:34:48 IST 2024","passed","Fri Nov 22 10:34:59 IST 2024","","Open the browser and perform actions","",""
"","3031","verify submit_button is clickable","","Fri Nov 22 10:34:36 IST 2024","passed","Fri Nov 22 10:34:39 IST 2024","","Open the browser and perform actions","",""
"","2101","verify the tour plan","","Mon Oct 28 10:23:02 IST 2024","passed","Mon Oct 28 10:23:04 IST 2024","","Open the browser and perform actions","",""
"","2375","selects an option from dropdown and verifies in input field","","Tue Oct 29 14:34:43 IST 2024","failed","Tue Oct 29 14:34:45 IST 2024","","Open the browser and perform actions","",""
"","3024","verify the imager crowser is Backword_click","","Fri Nov 22 10:36:12 IST 2024","passed","Fri Nov 22 10:36:15 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","10093","Verify linkedin button is clickable","","Tue Oct 22 13:21:40 IST 2024","broken","Tue Oct 22 13:21:50 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","118","verify if all videos are playable","","Wed Nov 20 21:50:55 IST 2024","passed","Wed Nov 20 21:50:55 IST 2024","","Open the browser and perform actions","",""
"","1225","Verify linkedin button is clickable","","Mon Nov 18 11:32:24 IST 2024","failed","Mon Nov 18 11:32:25 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","20289","verify methodsof second ","","Tue Nov 19 16:16:26 IST 2024","passed","Tue Nov 19 16:16:46 IST 2024","","Open the browser and perform actions","",""
"","2008","verify the individual tournament Enquire in clickable","","Mon Nov 18 15:59:41 IST 2024","passed","Mon Nov 18 15:59:43 IST 2024","","Open the browser and perform actions","",""
"","4176","should login with valid credentials","","Mon Oct 21 20:22:16 IST 2024","failed","Mon Oct 21 20:22:21 IST 2024","","My Login application","",""
"","10254","Verify YouTube button is clickable","","Tue Oct 22 10:29:52 IST 2024","broken","Tue Oct 22 10:30:02 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","70","verify YouTube button is clickable","","Tue Oct 22 09:41:13 IST 2024","broken","Tue Oct 22 09:41:13 IST 2024","","Verify social buttons and enquire button are clickable","",""
"","45","verify user enters referral code","","Tue Oct 29 13:54:09 IST 2024","passed","Tue Oct 29 13:54:09 IST 2024","","Open the browser and perform actions","",""
"","1167","verify user enters their email","","Fri Nov 22 10:35:20 IST 2024","passed","Fri Nov 22 10:35:21 IST 2024","","Open the browser and perform actions","",""
"","2023","sets a date within the allowed range","","Tue Oct 29 18:25:39 IST 2024","passed","Tue Oct 29 18:25:41 IST 2024","","Open the browser and perform actions","",""
"","2029","verify the Enquire module is open onclick","","Tue Oct 29 14:34:33 IST 2024","passed","Tue Oct 29 14:34:35 IST 2024","","Open the browser and perform actions","",""
"","2043","verify the Enquire module is open onclick","","Fri Nov 22 10:34:17 IST 2024","passed","Fri Nov 22 10:34:19 IST 2024","","Open the browser and perform actions","",""
"","10204","Verify Instagram button is clickable","","Fri Nov 22 10:35:37 IST 2024","passed","Fri Nov 22 10:35:48 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","3446","Gets the URL and opens the browser","","Tue Oct 22 09:41:10 IST 2024","passed","Tue Oct 22 09:41:13 IST 2024","","Open the browser","",""
"","2011","verify to select the drop down option ","","Tue Oct 22 17:32:52 IST 2024","passed","Tue Oct 22 17:32:54 IST 2024","","Open the browser and perform actions","",""
"","2008","verify user enter referral code","","Mon Oct 28 12:19:37 IST 2024","passed","Mon Oct 28 12:19:39 IST 2024","","Open the browser and perform actions","",""
"","5174","verify the home_policy is clickable","","Fri Nov 22 10:36:44 IST 2024","passed","Fri Nov 22 10:36:49 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","10171","Verify youtube button is clickable","","Fri Nov 22 10:35:58 IST 2024","passed","Fri Nov 22 10:36:08 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","10109","Verify youtube button is clickable","","Tue Oct 22 13:21:30 IST 2024","broken","Tue Oct 22 13:21:40 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","1174","verify checkbox is checked","","Tue Oct 29 13:54:09 IST 2024","failed","Tue Oct 29 13:54:11 IST 2024","","Open the browser and perform actions","",""
"","10066","Verify LinkedIn button is clickable","","Tue Oct 22 10:30:02 IST 2024","broken","Tue Oct 22 10:30:12 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","1335","verify proceed to book button is clickable","","Tue Oct 29 13:54:07 IST 2024","failed","Tue Oct 29 13:54:08 IST 2024","","Open the browser and perform actions","",""
"","18313","verify if the video is playable","","Fri Nov 22 10:36:15 IST 2024","passed","Fri Nov 22 10:36:33 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","4031","verify the imager crowser is forword_click","","Fri Nov 22 10:36:08 IST 2024","passed","Fri Nov 22 10:36:12 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","2084","verify subitional service ","","Fri Nov 22 10:35:14 IST 2024","passed","Fri Nov 22 10:35:16 IST 2024","","Open the browser and perform actions","",""
"","3208","verify the individual tournament Enquire is clickable","","Fri Nov 22 10:34:45 IST 2024","passed","Fri Nov 22 10:34:48 IST 2024","","Open the browser and perform actions","",""
"","2025","verify user enter referral code","","Fri Nov 22 10:34:27 IST 2024","passed","Fri Nov 22 10:34:29 IST 2024","","Open the browser and perform actions","",""
"","5202","verify the tour plan of 2 option","","Mon Oct 28 09:15:53 IST 2024","broken","Mon Oct 28 09:15:58 IST 2024","","Open the browser and perform actions","",""
"","2024","verify checkbox is clickable","","Fri Nov 22 10:34:34 IST 2024","passed","Fri Nov 22 10:34:36 IST 2024","","Open the browser and perform actions","",""
"","16829","verify if the video is playable","","Thu Nov 21 16:18:11 IST 2024","broken","Thu Nov 21 16:18:28 IST 2024","","Open the browser and perform actions","",""
"","5169","verify the home_refund is clickable","","Fri Nov 22 10:36:39 IST 2024","passed","Fri Nov 22 10:36:44 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","13152","verify the is video is clickable ","","Wed Oct 23 11:32:29 IST 2024","passed","Wed Oct 23 11:32:42 IST 2024","","Open the browser and perform actions","",""
"","70","verify Enquire button is clickable","","Tue Oct 22 09:41:13 IST 2024","broken","Tue Oct 22 09:41:14 IST 2024","","Verify social buttons and enquire button are clickable","",""
"","67","verify LinkedIn button is clickable","","Tue Oct 22 09:41:13 IST 2024","broken","Tue Oct 22 09:41:13 IST 2024","","Verify social buttons and enquire button are clickable","",""
"","2035","verify the tour plan second option","","Mon Oct 28 10:49:34 IST 2024","passed","Mon Oct 28 10:49:36 IST 2024","","Open the browser and perform actions","",""
"","3049","verify user enters their phone number","","Fri Nov 22 10:35:21 IST 2024","passed","Fri Nov 22 10:35:24 IST 2024","","Open the browser and perform actions","",""
"","3118","verify the tour for 2 persons is added","","Fri Nov 22 10:35:09 IST 2024","passed","Fri Nov 22 10:35:12 IST 2024","","Open the browser and perform actions","",""
"","3091","verify the tour for 2 persons is added","","Tue Oct 29 18:25:41 IST 2024","passed","Tue Oct 29 18:25:44 IST 2024","","Open the browser and perform actions","",""
"","2177","verify to select the dropdown option","","Fri Nov 22 10:34:32 IST 2024","broken","Fri Nov 22 10:34:34 IST 2024","","Open the browser and perform actions","",""
"","2006","verity Additional Service is added ","","Mon Oct 28 12:19:25 IST 2024","passed","Mon Oct 28 12:19:27 IST 2024","","Open the browser and perform actions","",""
